text;;
Kompilasi #AlBarkahShaumSunnahKeren Kamis 12/5/16 Alhamdulillah keg Shaum Sunnah qt lalui bersama. @IdrisAShomad pic.twitter.com/iJ2TgnSvOY;;
Hampir setiap hujan selalu trip @IdrisAShomad @pln_123 @infoPLN;;
Mhon bantuannya pak wali @IdrisAShomad untuk mengingatkan @pln_123 depok .. Karena bagi saya maintenance dan keandalan system nya masih kurg;;
"Sya pnya anak yg msih balita.. Di frezzer banyak cadangan asi.. Klau listrik mati..asi itu sdah ga bisa di gunakan..
@IdrisAShomad @pln_123";;
@PLN_APJ_DEPOK  perum almni sespnas pot rawageni, ada kbel lpas dr tiang sgt brbhya. Mhn diperbaiki. @IdrisAShomad;;
Atau yang menyebabkan listrik mati krena ada pohon yang nyambar?bkankah jaringan listrik pln harus bebas dri pohon ? @IdrisAShomad @pln_123;;
Seandainya lstrik mati gara2 petir bukan kah proteksi recloser nya bekerja? Dgn time trtentu scara otomatis lgsg on? @pln_123 @IdrisAShomad;;
"Selama tahun 2016.. Listrik di depok apalgi di daerah kami kalimulya sering mati..
Apakah penyebabnya? @IdrisAShomad @pln_123 @infoPLN";;
Pak walikota @IdrisAShomad tolong listrik di kalimulya mati..mohon bantuanya @pln_123;;
@PLN_APJ_DEPOK  pa, mnta tlg kabel di komplek alumni sespanas pot rawageni lpas dr tiang. Ni lgi ujan bahaya. Tegangan down. @IdrisAShomad;;
Situasi simpang Cinere ramai lancar 2016 05 12 16:21 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/XgigzWr4Up;;
UKM rakyat kecil jgn dibinasakan. Kalau tak ada ijin didampingi agar bisa memenuhi persyaratan;;
Situasi exit Terminal Depok ramai lancar 2016 05 12 15:52 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/v6YKK0gx7S;;
Situasi simpang Sengon ramai lancar 2016 05 12 15:54 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/obbpXvJtXk;;
Syafakallah. Semoga segera disembuhkan;;
Situasi simpang Gandul lancar 2016 05 12 15:51 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/5FO99x0Nph;;
Situasi simpang Kodim ramai lancar 2016 05 12 15:52 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/7OUIZUOzRp;;
Situasi simpang Kartini lancar 2016 05 12 15:54 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/2AxM36Hqmg;;
Situasi simpang PLN (Beji) lancar 2016 05 12 15:55 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/x4ktA4kTLy;;
Situasi ruas Jl Margonda (BALEKA) lancar 2016 05 12 15:54 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/9RN30dtgww;;
#Depok @PemkotDepok RT @newlanders: Kemeriahan acara warga di RT 08/12 Tanah Baru pada Perpus Keliling -jilid pertama- @IdrisAShomad ...;;
